[13:37:29.167] Namespace(base_lr=0.01, batch_size=8, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=16, cmc_soft_sigma=0.3, cmc_warmup_iter=2000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=1.0, consistency_rampup=40.0, deterministic=1, exp='BCP_CMC_NA_v2_s0.3_smoke', gpu='1', labeled_bs=4, labelnum=4, loss_weight=0.5, magnitude=10.0, mask_ratio=0.6666666666666666, max_samples=80, model='VNet', pre_max_iteration=100, root_path='/home/hjj/ssq/BCP_original/data_split/LA', seed=1337, self_max_iteration=300, u_alpha=2.0, u_weight=0.5)
[13:50:16.846] Namespace(base_lr=0.01, batch_size=8, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=16, cmc_soft_sigma=0.3, cmc_warmup_iter=2000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=1.0, consistency_rampup=40.0, deterministic=1, exp='BCP_CMC_NA_v2_s0.3_smoke', gpu='1', labeled_bs=4, labelnum=4, loss_weight=0.5, magnitude=10.0, mask_ratio=0.6666666666666666, max_samples=80, model='VNet', pre_max_iteration=100, root_path='/home/hjj/ssq/BCP_original/data_split/LA', seed=1337, self_max_iteration=300, u_alpha=2.0, u_weight=0.5)
[13:50:17.399] Start self_training (BCP + NA-CMC V2 Soft Mask 3D)
[13:50:17.400] soft_sigma=0.3 → avg_pool3d 核 5px
[13:50:17.409] 1 iterations per epoch
[13:57:59.165] iteration 87 : loss: 0.879861, bcp: 0.873841, cmc: 0.139992, shared: 0.38, conf_t: 0.84
[13:58:04.944] iteration 88 : loss: 0.799579, bcp: 0.795484, cmc: 0.094133, shared: 0.38, conf_t: 0.84
[13:58:11.215] iteration 89 : loss: 1.045170, bcp: 1.041944, cmc: 0.073325, shared: 0.38, conf_t: 0.84
[13:58:16.596] iteration 90 : loss: 0.873102, bcp: 0.867048, cmc: 0.136046, shared: 0.38, conf_t: 0.84
[13:58:22.230] iteration 91 : loss: 0.888534, bcp: 0.882055, cmc: 0.143986, shared: 0.38, conf_t: 0.84
[13:58:28.138] iteration 92 : loss: 0.893373, bcp: 0.887330, cmc: 0.132818, shared: 0.38, conf_t: 0.84
[13:58:33.710] iteration 93 : loss: 1.021597, bcp: 1.017151, cmc: 0.096654, shared: 0.38, conf_t: 0.84
[13:58:39.211] iteration 94 : loss: 0.869647, bcp: 0.866448, cmc: 0.068799, shared: 0.38, conf_t: 0.84
[13:58:44.871] iteration 95 : loss: 0.962682, bcp: 0.957350, cmc: 0.113446, shared: 0.38, conf_t: 0.84
[13:58:50.612] iteration 96 : loss: 0.762270, bcp: 0.756542, cmc: 0.120596, shared: 0.38, conf_t: 0.84
[13:58:56.055] iteration 97 : loss: 0.918547, bcp: 0.914596, cmc: 0.082316, shared: 0.38, conf_t: 0.84
[13:59:01.068] iteration 98 : loss: 0.861959, bcp: 0.856057, cmc: 0.121685, shared: 0.38, conf_t: 0.84
[13:59:06.235] iteration 99 : loss: 0.813715, bcp: 0.806832, cmc: 0.140479, shared: 0.38, conf_t: 0.83
[13:59:11.194] iteration 100 : loss: 0.812916, bcp: 0.807778, cmc: 0.103796, shared: 0.38, conf_t: 0.83
[13:59:16.439] iteration 101 : loss: 0.992049, bcp: 0.986551, cmc: 0.109960, shared: 0.38, conf_t: 0.83
[13:59:22.002] iteration 102 : loss: 1.094668, bcp: 1.089591, cmc: 0.100539, shared: 0.38, conf_t: 0.83
[13:59:27.784] iteration 103 : loss: 0.790881, bcp: 0.786366, cmc: 0.088526, shared: 0.38, conf_t: 0.83
[13:59:33.636] iteration 104 : loss: 1.037760, bcp: 1.030295, cmc: 0.144962, shared: 0.38, conf_t: 0.83
[13:59:39.041] iteration 105 : loss: 1.069043, bcp: 1.062323, cmc: 0.129223, shared: 0.38, conf_t: 0.83
[13:59:44.673] iteration 106 : loss: 0.902629, bcp: 0.898192, cmc: 0.084520, shared: 0.38, conf_t: 0.83
[13:59:50.221] iteration 107 : loss: 0.989835, bcp: 0.983028, cmc: 0.128448, shared: 0.38, conf_t: 0.83
[13:59:55.714] iteration 108 : loss: 0.970464, bcp: 0.964445, cmc: 0.112502, shared: 0.38, conf_t: 0.83
[14:00:01.020] iteration 109 : loss: 0.888191, bcp: 0.879581, cmc: 0.159449, shared: 0.38, conf_t: 0.83
[14:00:06.346] iteration 110 : loss: 0.785573, bcp: 0.780003, cmc: 0.102209, shared: 0.38, conf_t: 0.83
[14:00:12.148] iteration 111 : loss: 0.863919, bcp: 0.857812, cmc: 0.111041, shared: 0.38, conf_t: 0.83
[14:00:17.591] iteration 112 : loss: 0.952996, bcp: 0.946209, cmc: 0.122287, shared: 0.38, conf_t: 0.83
[14:00:22.677] iteration 113 : loss: 0.896234, bcp: 0.887961, cmc: 0.147731, shared: 0.38, conf_t: 0.83
[14:00:27.994] iteration 114 : loss: 0.856613, bcp: 0.850720, cmc: 0.104310, shared: 0.38, conf_t: 0.82
[14:00:33.701] iteration 115 : loss: 0.725809, bcp: 0.719126, cmc: 0.117232, shared: 0.38, conf_t: 0.82
[14:00:39.207] iteration 116 : loss: 0.952590, bcp: 0.946326, cmc: 0.108938, shared: 0.38, conf_t: 0.82
[14:00:44.999] iteration 117 : loss: 0.989296, bcp: 0.982816, cmc: 0.111719, shared: 0.38, conf_t: 0.82
[14:00:50.897] iteration 118 : loss: 0.702694, bcp: 0.696163, cmc: 0.111633, shared: 0.38, conf_t: 0.82
[14:00:56.625] iteration 119 : loss: 0.909999, bcp: 0.904517, cmc: 0.092923, shared: 0.38, conf_t: 0.82
[14:01:02.374] iteration 120 : loss: 0.789263, bcp: 0.783863, cmc: 0.090754, shared: 0.38, conf_t: 0.82
[14:01:07.747] iteration 121 : loss: 0.727892, bcp: 0.720633, cmc: 0.120981, shared: 0.38, conf_t: 0.82
