Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_attention_ps8', gpu='0', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices: 1312, labeled: 136
Start pre_training
22 iters/epoch
iter 182: loss:0.779528 dice:1.292204 ce:0.266852
iter 183: loss:0.701289 dice:1.182715 ce:0.219864
iter 184: loss:0.821459 dice:1.375027 ce:0.267892
iter 185: loss:0.733027 dice:1.253904 ce:0.212150
iter 186: loss:0.718300 dice:1.196517 ce:0.240084
iter 187: loss:0.713464 dice:1.211238 ce:0.215691
iter 188: loss:0.816309 dice:1.350070 ce:0.282549
iter 189: loss:0.750532 dice:1.259974 ce:0.241090
iter 190: loss:0.668220 dice:1.171480 ce:0.164959
iter 191: loss:0.796550 dice:1.345160 ce:0.247939
iter 192: loss:0.775083 dice:1.299624 ce:0.250543
iter 193: loss:0.823920 dice:1.371213 ce:0.276626
iter 194: loss:0.747485 dice:1.293558 ce:0.201412
iter 195: loss:0.842822 dice:1.468170 ce:0.217474
iter 196: loss:0.815720 dice:1.373657 ce:0.257783
iter 197: loss:0.840332 dice:1.221845 ce:0.458820
iter 198: loss:0.856667 dice:1.330591 ce:0.382743
  2%|▋                                | 9/455 [00:18<14:37,  1.97s/it]iter 199: loss:0.653820 dice:1.101958 ce:0.205683
iter 200: loss:0.706138 dice:1.170822 ce:0.241453
iter 200: mean_dice:0.103176
iter 201: loss:0.820371 dice:1.343465 ce:0.297277
iter 202: loss:0.909759 dice:1.452655 ce:0.366863
iter 203: loss:0.789620 dice:1.244489 ce:0.334752
iter 204: loss:0.802333 dice:1.302015 ce:0.302651
iter 205: loss:0.889991 dice:1.334410 ce:0.445572
iter 206: loss:0.855645 dice:1.307849 ce:0.403441
iter 207: loss:0.771851 dice:1.287419 ce:0.256282
iter 208: loss:0.807421 dice:1.338501 ce:0.276340
iter 209: loss:0.763655 dice:1.263539 ce:0.263772
iter 210: loss:0.980408 dice:1.417615 ce:0.543200
iter 211: loss:0.790085 dice:1.249942 ce:0.330228
iter 212: loss:0.760711 dice:1.268345 ce:0.253077
iter 213: loss:0.753619 dice:1.258716 ce:0.248522
iter 214: loss:0.687871 dice:1.180700 ce:0.195043
iter 215: loss:0.697951 dice:1.174073 ce:0.221830
iter 216: loss:0.750076 dice:1.229904 ce:0.270248
iter 217: loss:0.809577 dice:1.295659 ce:0.323496
iter 218: loss:0.761862 dice:1.272932 ce:0.250792
iter 219: loss:0.904325 dice:1.371371 ce:0.437279
iter 220: loss:0.757656 dice:1.305045 ce:0.210266
  2%|▋                               | 10/455 [00:26<28:31,  3.85s/it]iter 221: loss:0.877365 dice:1.396638 ce:0.358092
iter 222: loss:0.818053 dice:1.313095 ce:0.323010
iter 223: loss:0.771015 dice:1.290099 ce:0.251931
iter 224: loss:0.645058 dice:1.164259 ce:0.125856
iter 225: loss:0.796350 dice:1.293839 ce:0.298860
iter 226: loss:0.696030 dice:1.222290 ce:0.169770
iter 227: loss:0.720401 dice:1.159944 ce:0.280857
iter 228: loss:0.782332 dice:1.293669 ce:0.270996
iter 229: loss:0.713217 dice:1.197411 ce:0.229023
iter 230: loss:0.745281 dice:1.229902 ce:0.260659
iter 231: loss:0.772590 dice:1.193944 ce:0.351235
iter 232: loss:0.745586 dice:1.179670 ce:0.311501
iter 233: loss:0.904151 dice:1.481983 ce:0.326320
iter 234: loss:0.865992 dice:1.453087 ce:0.278897
iter 235: loss:0.861497 dice:1.437100 ce:0.285894
iter 236: loss:0.694004 dice:1.201925 ce:0.186084
iter 237: loss:0.785283 dice:1.253611 ce:0.316955
iter 238: loss:0.660786 dice:1.075018 ce:0.246554
iter 239: loss:0.814309 dice:1.303247 ce:0.325371
iter 240: loss:0.674739 dice:1.163342 ce:0.186136
iter 241: loss:0.847142 dice:1.260928 ce:0.433355
iter 242: loss:0.703467 dice:1.115451 ce:0.291484
  2%|▊                               | 11/455 [00:28<24:11,  3.27s/it]iter 243: loss:0.700661 dice:1.183164 ce:0.218157
iter 244: loss:0.654769 dice:1.135921 ce:0.173618
iter 245: loss:0.740911 dice:1.273467 ce:0.208354
iter 246: loss:0.684066 dice:1.183487 ce:0.184645
iter 247: loss:0.691998 dice:1.138877 ce:0.245119
iter 248: loss:0.687149 dice:1.181571 ce:0.192728
iter 249: loss:0.678225 dice:1.141941 ce:0.214508
iter 250: loss:0.699001 dice:1.230362 ce:0.167641
iter 251: loss:0.617130 dice:1.069180 ce:0.165081
iter 252: loss:0.749276 dice:1.246590 ce:0.251963
