============================================================
  GPU 2 接力实验启动
  开始时间: Tue Jun  9 08:42:50 PM UTC 2026
============================================================

==============================
  [1/2] NA_v2 (soft_mask, bs=12)
==============================

Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_soft_sigma=0.5, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_NA_v2_bs12', gpu='2', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269
iteration 223: loss: 0.753030
iteration 224: loss: 0.651848
iteration 225: loss: 0.817356
iteration 226: loss: 0.696434
iteration 227: loss: 0.764212
iteration 228: loss: 0.766301
iteration 229: loss: 0.731035
iteration 230: loss: 0.747945
iteration 231: loss: 0.743871
iteration 232: loss: 0.792950
iteration 233: loss: 0.893944
iteration 234: loss: 0.867601
iteration 235: loss: 0.902775
iteration 236: loss: 0.706369
iteration 237: loss: 0.813596
iteration 238: loss: 0.672605
iteration 239: loss: 0.828090
iteration 240: loss: 0.713808
iteration 241: loss: 0.820680
iteration 242: loss: 0.744580
  2%|▊                               | 11/455 [00:28<25:17,  3.42s/it]iteration 243: loss: 0.708800
iteration 244: loss: 0.665956
iteration 245: loss: 0.713148
iteration 246: loss: 0.709917
iteration 247: loss: 0.754837
iteration 248: loss: 0.692954
iteration 249: loss: 0.676176
iteration 250: loss: 0.683932
iteration 251: loss: 0.562665
iteration 252: loss: 0.773996
iteration 253: loss: 0.776269
iteration 254: loss: 0.685120
iteration 255: loss: 0.903198
iteration 256: loss: 0.794444
iteration 257: loss: 0.723643
iteration 258: loss: 0.662531
iteration 259: loss: 0.668119
iteration 260: loss: 0.987443
iteration 261: loss: 0.787408
iteration 262: loss: 0.709764
iteration 263: loss: 0.681033
iteration 264: loss: 0.861719
  3%|▊                               | 12/455 [00:30<21:20,  2.89s/it]iteration 265: loss: 0.700396
iteration 266: loss: 0.773127
iteration 267: loss: 0.728681
iteration 268: loss: 0.723845
iteration 269: loss: 0.925008
iteration 270: loss: 0.707917
iteration 271: loss: 0.685821
iteration 272: loss: 0.742115
iteration 273: loss: 0.642693
iteration 274: loss: 0.807986
iteration 275: loss: 0.827480
iteration 276: loss: 0.652329
iteration 277: loss: 0.777120
iteration 278: loss: 0.860200
iteration 279: loss: 0.596832
iteration 280: loss: 0.779652
iteration 281: loss: 0.760540
iteration 282: loss: 0.688733
iteration 283: loss: 0.657306
iteration 284: loss: 0.935762
iteration 285: loss: 0.615794
iteration 286: loss: 0.762523
  3%|▉                               | 13/455 [00:32<18:57,  2.57s/it]iteration 287: loss: 0.653480
iteration 288: loss: 0.804172
iteration 289: loss: 0.892077
iteration 290: loss: 0.782795
iteration 291: loss: 0.687167
iteration 292: loss: 0.714844
iteration 293: loss: 0.849915
iteration 294: loss: 0.697804
iteration 295: loss: 0.720532
iteration 296: loss: 0.662887
iteration 297: loss: 0.681862
iteration 298: loss: 0.615613
iteration 299: loss: 0.646153
iteration 300: loss: 0.959385
iteration 301: loss: 0.780177
iteration 302: loss: 0.631808
iteration 303: loss: 0.713385
iteration 304: loss: 0.670018
iteration 305: loss: 0.653768
iteration 306: loss: 0.858098
iteration 307: loss: 0.741226
iteration 308: loss: 0.674218
  3%|▉                               | 14/455 [00:34<18:04,  2.46s/it]iteration 309: loss: 0.672556
iteration 310: loss: 0.645985
iteration 311: loss: 0.723450
iteration 312: loss: 0.681606
iteration 313: loss: 0.800501
iteration 314: loss: 0.823504
iteration 315: loss: 0.609067
iteration 316: loss: 0.811999
iteration 317: loss: 0.733131
iteration 318: loss: 0.659946
iteration 319: loss: 0.694766
iteration 320: loss: 0.729335
iteration 321: loss: 0.665641
iteration 322: loss: 0.882057
iteration 323: loss: 0.717396
iteration 324: loss: 0.874963
iteration 325: loss: 0.803591
iteration 326: loss: 0.653736
iteration 327: loss: 0.635552
iteration 328: loss: 0.765457
iteration 329: loss: 0.634614
iteration 330: loss: 0.605302
  3%|█                               | 15/455 [00:36<16:46,  2.29s/it]iteration 331: loss: 0.753825
iteration 332: loss: 0.724544
iteration 333: loss: 0.739655
iteration 334: loss: 0.689873
iteration 335: loss: 0.773555
iteration 336: loss: 0.746455
iteration 337: loss: 0.667426
iteration 338: loss: 0.707313
iteration 339: loss: 0.658952
iteration 340: loss: 0.628172
iteration 341: loss: 0.718870
iteration 342: loss: 0.804803
iteration 343: loss: 0.648984
iteration 344: loss: 0.749514
iteration 345: loss: 0.818155
iteration 346: loss: 0.722642
iteration 347: loss: 0.748502
iteration 348: loss: 0.648413
iteration 349: loss: 0.648262
iteration 350: loss: 0.670112
iteration 351: loss: 0.775218
iteration 352: loss: 0.886401
